λ,l(λ),u(λ),n-sequence
38/13,10,151,"{1, 1, 1, 1, 1, 1, -5, 1, -1, 1, -1, 1, 1, -13, 1, -1, -1, 1, 1, -1, -1, 1, 2, 2, 1, -2, 1, -5, -120, -1, 1, 1, -1, -1, -1, -2, -1, -3, 2, -1, 2, -3, -1, -2, 1, -6, -5, -1, -1, -2, -1, -3, 1, -3, 1, -4, -1, -1, 2, -1, 5, -2, 4, -4, -5, -2, -12, 2, -2, -1, -3, -5, 2, -1, -1, 2, 1, 1, 1, 1, -2, 2, -1, 2, -1, 4, -1, 1, 1, 1, -2, 13, 3, 1, 1, 1, -2, 1, -83, 5, 3, 1, -10, -1, -1, -1, 18, 1, 2, 4, -2, 7, -1, -2, -37, 1, -14, -2, 6, -8, 188, -1, -46, -4, 1, 9, 2, 1, -1, -3, -4, -2, 5, 1, -3, -15, -2, 2, 2, -1, 2, 1, -13, 10, -8, -1, -1, -1, 43, 1, 13}"
40/13,10,11,"{2, -6, -11, 1, -1, 1, -1, 1, -3, -1040, -1346}"
41/13,10,125,"{1, 1, 1, 1, 1, 1, 1, -1, 1, -1, 1, -1, -4, -13, -4, -1, 1, 2, -1, -9, 1, -2, 1, -1, -1, 4, 4, 1, 2, -2, 2, 2, 1, -4, 6, 1, -1, -2, 1, -1, -2, -1, 5, -1, 1, -280, 15, -1, 1, -54, 1, -1, -1, 2, 2, -1, -3, 3, -1, 1, -3, 1, -1, 3, 5, 8, 2, 2, -1, 1, 1, -69, -1, 169, 117, -1, 1, 1, 17, 1, -1, -1, 4, 1, 1, -5, 1, 29, 3, -1, 1, -9, -4, -2, 17, 1, -6, -1, 1, -2, -1, 2, -9, -1, -3, 3, -2, -2, 3, 1, 1, 2, -1, -1, -1, 7, 2, -1, -8, 1, -1, -1, 11, -6, -13}"
42/13,9,9,"{13, 1, -1, 1, -1, 1, -1, -13, -94}"
43/13,11,127,"{1, 1, 1, 1, 1, 2, -3, 1, -1, 1, -1, 1, -1, 6, -18, -1, 1, 4, 1, -1, -2, -1, 2, 2, 6, 1, 3, -1913, -3, -6, 1, -2, 1, 2, -1, 3, -1, 1, 1, -2, 4, 1, 3, 3, 1, -5, 1, -1, -1, 1, -2, 1, 3, 3, -1, 1, -2, 2, 7, -1, -1, -7, 2, -1, 47, 1, -1, 45, 25, 1, 2, -1, -3, 1, 1, 1, -2, 34, 1, -9, 2, -1, 2, 3, 20, 1, -3, -8, -1, 1, -1, -1, 6, 3, 6, -1, 1, -2, 2, -1, 1, 58, -1, 3, -16, -3, 1, 73, -1, 2, 2, -9, 7, 2, -2, -8, 1, 8, -1, 1, -7, -3, -1, 4, 1, 1, 39}"
44/13,11,165,"{1, 1, 1, 1, 1, -8, -3, 1, -1, 1, -1, 1, -1, 1, 1, -1, -1, -3, -3, 1, 10, 1, 2, 3, -1, 1, -3, 1, -1, 16, 3, -1, -1, 97, 1, -1, 2, 18, 5, 2, 2, -1, 1, 16, -1, -3, -1, 1, 11, -1, -1, 1, -9, 1, -1, 39, 11, -1, -1, -1, 44, 12, 1, 1, -5, 1, -1, 1, 3, 2, -4, -1, 3, -1, 1, -45, 25, 9, 1, 2, 1, 1741, 1, 6, 1, -1, 8, 4, -1, 2, -1, -2, -1, 1, -1, -4, 1, -3, 1, -1, -2, 1, 4, -1, -2, -1, 1, 1, 1, 1, 1, 330, -1, -1, -2, -3, 1, 1, -5, 5, -1, -11, -1, -44, -1, -2, -3, 2, -1, 1, -3, -2, 2, -3, 1, 1, -1, 1, 1, -2, -2, 1, -5, -2, 1, -13, -7, 1, 1, -7, -17, -1, 3, -1, 1, 2, 1, 3, -1, 1, 11, -4, 1, -8, 13}"
45/13,12,175,"{1, 1, 1, 1, 1, -1, -3, 1, -1, 1, -1, 1, -1, 1, -3, -1, 1, 66, -1, 32, -2, -1, 6, 1, -1, 3, -1, 1, 1, -9, 1, -5, 2, -1, 1, 3, 264, 2, -20, -1, 2, 10, 2, -1, 1, -1, -22, -2, 1, -1, -1, 3, -5, 1, -1, -2, 1, -1, 5, 1, -1, 1, -8, 1, -1, -11, 1, -2, -1, -1, 75, 1, 4, -5, -3, -1, 1, 2, -1, -2, 2, -11, 13, 5, -1, -4, 1, -1, 1, 6, -1, -6, -1, -1, 2, -1, 1, -1, -4, -1, 1, 5, 1, -1, -1, 1, 1, -3, -2, 2, 3, -1, -2, -1, -8, -2, 1, 1, -3, -1, 20, -1, 23, 1, -8, 11, -1, 1, -7, 1, -2, -21, 1, 2, -1, 1, -1, -4, -1, 9, -1, 1, -1, -40, 1, -1, 1, 46, -1, -3, 7, -3, 1, 17, 1, -1, 1, 91, -2, 1, -1, -6, -5, 2, -1, -12, 1, -1, -4, -1, 1, 2, -1, 78, -3}"
46/13,12,125,"{1, 1, 1, 1, 1, 12, -1, 1, -1, 1, -1, 1, -1, 1, -26, -1, 1, 2, -1, 1, 1, 5, 1, 10, -3, -1, -2, 1, -1, 1, 1, -1, -1, 1, 1, -2, -1, 1, -1, 2, 1, -1, -1, -1, 13, 2, 6, 4, 2, 1, -1, -5, 2, -1, 1, -12, 13, -1, 1, -1, -3, 1, 1, -22, -1, -2, 1, -1, 1, -41, -3, 1, 1, 1, 10, -1, -14, -7, -1, 13, 2, 1, -1, 1, -3, 1, 1, -1, -1, -1, 1, -1, 2, -1, 1, -1, 2, -1, -1, 2, 1814, 2, -1, 1, -2, -2, -1, 1, -36, -885, 1, -1, 5, -2, 21, -1, -2, -49, -1, 1, -1, -3, 17, -1, 26}"
47/13,13,107,"{1, 1, 1, 1, 4, -1, -11, 1, -1, 1, -1, 1, -1, 1, -1, 1, 6, -1, 2, 1, -2, 1, -1, 1, -1, -1, 3, -42, -1, 2, -1, 1, -1, -3, -20, -1, -26, 1, -1, -1, -52, 2, -1, 1, 3, -6, 1, -1, 1, 2, -13, 1, 14, 8, -11, -1, -19, 4, 1, -1, -2, -1, 3, 5, 1, -14, -1, -1, 2, 1, 1, -1, 2, -1, -2, 1, -1, 1, -9, -1, 1, 7, -1, 1, -1, -2, -89, -1, -3, -1, 1, -3, -74, 2, -1, -1, 1, 1, -1, -14, -6, 1, 1, 1, -25, -13, 2}"
48/13,15,117,"{1, 1, 1, 1, -3, -2, 3, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, 13, 2, 1, 1, 1, 4, -1, 1, -1, -1, 4, -1, 1, -5, -1, 1, -2, 1, 6, -2, 1, -1, -1, 1, -1, 1, 1, 1, -6, 3, -1, 1, 2, -1, 1, 910, -2, 1, 2, 1, -1, 1, -26, 1, 14, -5, 5, -1, -2, 88, 2, -1, 1, -1, -27, -11, 3, -3, 2, 1, -1, 39, -18, 1, -3, 2, 12, 4, 1, -1, 3, 14, 1, -1, 1, 1, -1, 1, -1, -4, -10, -3, 3, 1, -1, 1, 5, -1, 1, -8, -6, -8, -2, -14, 1, -1, 1, -7, 13, -2}"
49/13,16,95,"{1, 1, -1, -1, -12, 10, -5, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, -3, 1, -1, -60, 1, -1, -2, 1, -1, -45, 3, -13, 12, -1, 1, -1, -5, -3, -3, -1, -13, 3, -1, 1, -1, -4, 91, -1, 1, 1, 2, -1, -1, -1, -1, -1, 25, -1, 1, 1, -12, 4, 38, 89, 1, -1, 1, -1, 1, 2, -1, 7, 2, 1, 2, -10, 1, -1, -1, 1, -1, -1, -1, 1, -1, 2, -3, -5, -25, 6, 1, -13, 1, 320, 13, -7}"
50/13,17,147,"{1, 1, 7, 10, 4, -13, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, -10, -1, -3846, -1, 1, -1, -1, 1, -1, -11, 1, -2, 17, -1, 22, 6, -1, -1, 1, 1, -1, 6, -3, 2, -1, 1, -7, -1, 1, 13, -6, 1, 4, 1, -1, 1, -1, 68, 73, -1, 1, 2, -1, -28, -1, -5, 1, 1, -2, 1, -20, -1, 1, 3, 33, -1, -3, 6, -11, -4, 1, -24, 3, -1, 1, -1, 1, -2, 1, -1, -1, -1, 2, -3, 1, 1, -1, -1, -1, 2, 1, -1, 1, 1, -1, -1, -1, 1, -7, -11, -1, 1, -2, 1, -1, 2, -10, 1, -1, -1, 2, -9, -1, -2, 8, 98, -32, -30, -2, 3, -3, 1, -3, 1, -1, 1, -1, 1, -4, -78, 69, -1, 3, -4, -5, -52}"
51/13,22,∞,Unknown
1/14,2,2,"{-14, 1}"
3/14,3,3,"{14, -5, 1}"
5/14,3,3,"{14, -3, 1}"
9/14,3,3,"{2, -1, 7}"
11/14,5,5,"{7, -4, 5, 1, -1}"
13/14,3,3,"{14, 1, -1}"
15/14,3,3,"{14, -1, 1}"
17/14,5,5,"{1, 4, -1, 1, -119}"
19/14,5,5,"{14, -3, 1, -1, 42}"
23/14,7,7,"{1, -1, 1, 1, 7, -1, 14}"
25/14,5,5,"{2, 1, -1, 1, -126}"
27/14,5,5,"{-2, 7, 1, -1, 1}"
29/14,5,5,"{2, 7, -1, 1, -1}"
31/14,7,7,"{3, -4, 1, -1, 1, -6, -315}"
